event,input,timestamp_msSinceEpoch
Button,1,1621429478100
Button,1,1621429478414
Button,1,1621429478718
Button,1,1621429478939
Button,1,1621429479199
Button,1,1621429479450
Button,1,1621429479692
Button,1,1621429479945
Button,1,1621429480172
Button,1,1621429480430
Button,1,1621429480691
Button,AC (all cleared),1621429482156
Button,1,1621429483882
Button,1,1621429484082
Button,1,1621429484336
Button,1,1621429484552
Button,1,1621429484848
Button,1,1621429485083
Button,1,1621429485332
Button,1,1621429485567
Button,1,1621429485796
Button,1,1621429486032
Button,1,1621429486299
Button,AC (all cleared),1621429487628
Button,1,1621429488859
Button,1,1621429489181
Button,1,1621429489478
Button,1,1621429489803
Button,1,1621429490116
Button,1,1621429490394
Button,1,1621429490724
Button,1,1621429491012
Button,1,1621429491319
Button,1,1621429491597
Button,1,1621429491895
Button,AC (all cleared),1621429492948
Button,1,1621429494341
Button,1,1621429494613
Button,1,1621429494924
Button,1,1621429495224
Button,1,1621429495545
Button,1,1621429495799
Button,1,1621429496097
Button,1,1621429496340
Button,1,1621429496665
Button,1,1621429496996
Button,1,1621429497336
Button,AC (all cleared),1621429498444
Button,1,1621429499995
Button,1,1621429500285
Button,1,1621429500610
Button,1,1621429500904
Button,1,1621429501199
Button,1,1621429501513
Button,1,1621429501808
Button,1,1621429502096
Button,1,1621429502303
Button,1,1621429502645
Button,1,1621429502991
Button,AC (all cleared),1621429504148
