event,input,timestamp_msSinceEpoch
Key,7,1621430410975
Button,7,1621430411895
Key,7,1621430412461
Button,7,1621430413201
Key,7,1621430413754
Button,7,1621430414923
Key,7,1621430415476
Button,7,1621430416291
Key,7,1621430416838
Button,7,1621430417611
Key,7,1621430418149
Button,7,1621430418924
Key,Clear,1621430420711
Key,7,1621430421629
Button,7,1621430422755
Key,7,1621430423323
Button,7,1621430424156
Key,7,1621430424675
Button,7,1621430425532
Key,7,1621430426048
Button,7,1621430427327
Key,7,1621430427889
Button,7,1621430428721
Key,7,1621430429290
Button,7,1621430430149
Key,Clear,1621430431771
Key,7,1621430433444
Button,7,1621430434363
Key,7,1621430434982
Button,7,1621430436011
Key,7,1621430436509
Button,7,1621430437471
Key,7,1621430438065
Button,7,1621430438973
Key,7,1621430439539
Button,7,1621430440403
Key,7,1621430440988
Button,7,1621430442240
Key,Clear,1621430444260
Key,7,1621430445419
Button,7,1621430446332
Key,7,1621430446918
Button,7,1621430447711
Key,7,1621430448273
Button,7,1621430448999
Key,7,1621430449489
Button,7,1621430450517
Key,7,1621430451324
Button,7,1621430452295
Key,7,1621430452839
Button,7,1621430453574
Key,Clear,1621430454535
Key,7,1621430455457
Button,7,1621430456399
Key,7,1621430456915
Button,7,1621430457767
Key,7,1621430458530
Button,7,1621430459397
Key,7,1621430460127
Button,7,1621430460964
Key,7,1621430461486
Button,7,1621430462444
Key,7,1621430462921
Button,7,1621430463838
Key,Clear,1621430464916
