event,input,timestamp_msSinceEpoch
Key,1,1621503709538
Key,+,1621503709733
Key,2,1621503709920
Key,+,1621503710085
Key,3,1621503710278
Key,+,1621503710460
Key,4,1621503710628
Key,+,1621503710813
Key,5,1621503711046
Key,+,1621503711216
Key,6,1621503711430
Key,+,1621503711626
Key,7,1621503711844
Key,+,1621503712005
Key,8,1621503712254
Key,+,1621503712429
Key,9,1621503712646
Key,+,1621503712955
Key,1,1621503713322
Key,0,1621503713786
Key,+,1621503714025
Key,1,1621503714315
Key,1,1621503714479
Key,+,1621503714648
Key,1,1621503714835
Key,2,1621503715038
Key,+,1621503715204
Key,1,1621503715399
Key,3,1621503715616
Key,+,1621503715761
Key,1,1621503715939
Key,4,1621503716181
Key,+,1621503716333
Key,1,1621503716560
Key,5,1621503716839
Key,+,1621503716992
Key,1,1621503717273
Key,6,1621503717606
Key,+,1621503717768
Key,1,1621503718064
Key,7,1621503718420
Key,+,1621503718554
Key,1,1621503718928
Key,8,1621503719368
Key,+,1621503719533
Key,1,1621503719922
Key,9,1621503720407
Key,+,1621503720668
Key,2,1621503721106
Key,0,1621503721608
Key,Calculate (Result: 210),1621503722062
Key,Clear,1621503722804
Key,1,1621503724874
Key,+,1621503725059
Key,2,1621503725255
Key,+,1621503725424
Key,3,1621503725606
Key,+,1621503725786
Key,4,1621503725981
Key,+,1621503726151
Key,5,1621503726362
Key,+,1621503726510
Key,6,1621503726791
Key,+,1621503726986
Key,7,1621503727222
Key,+,1621503727400
Key,8,1621503727601
Key,+,1621503727778
Key,9,1621503728002
Key,+,1621503728188
Key,1,1621503728629
Key,0,1621503729061
Key,+,1621503729280
Key,1,1621503729597
Key,1,1621503729759
Key,+,1621503729925
Key,1,1621503730115
Key,2,1621503730344
Key,+,1621503730508
Key,1,1621503730760
Key,3,1621503731025
Key,+,1621503731203
Key,1,1621503731399
Key,4,1621503731659
Key,+,1621503731830
Key,1,1621503732026
Key,5,1621503732348
Key,+,1621503732526
Key,1,1621503732809
Key,6,1621503733163
Key,+,1621503733335
Key,1,1621503733687
Key,7,1621503734119
Key,+,1621503734287
Key,1,1621503734651
Key,8,1621503735087
Key,+,1621503735229
Key,1,1621503735713
Key,9,1621503736157
Key,+,1621503736332
Key,2,1621503736689
Key,0,1621503737162
Key,Calculate (Result: 210),1621503737945
Key,Clear,1621503738830
Key,1,1621503741307
Key,+,1621503741493
Key,2,1621503741719
Key,+,1621503741876
Key,3,1621503742091
Key,+,1621503742273
Key,4,1621503742484
Key,+,1621503742652
Key,5,1621503742898
Key,+,1621503743067
Key,6,1621503743312
Key,+,1621503743481
Key,7,1621503743738
Key,+,1621503743892
Key,8,1621503744153
Key,+,1621503744305
Key,9,1621503744557
Key,+,1621503744755
Key,1,1621503745144
Key,0,1621503745582
Key,+,1621503745781
Key,1,1621503746101
Key,1,1621503746266
Key,+,1621503746437
Key,1,1621503746637
Key,2,1621503746854
Key,+,1621503746998
Key,1,1621503747222
Key,3,1621503747459
Key,+,1621503747644
Key,1,1621503747854
Key,4,1621503748116
Key,+,1621503748265
Key,1,1621503748512
Key,5,1621503748850
Key,+,1621503749012
Key,1,1621503749339
Key,6,1621503749694
Key,+,1621503749881
Key,1,1621503750215
Key,7,1621503750629
Key,+,1621503750793
Key,1,1621503751172
Key,8,1621503751687
Key,+,1621503751850
Key,1,1621503752181
Key,9,1621503752783
Key,+,1621503752984
Key,2,1621503753517
Key,0,1621503753993
Key,Calculate (Result: 210),1621503754460
Key,Clear,1621503755230
Key,1,1621503757450
Key,+,1621503757637
Key,2,1621503757829
Key,+,1621503757989
Key,3,1621503758203
Key,+,1621503758379
Key,4,1621503758602
Key,+,1621503758764
Key,5,1621503759016
Key,+,1621503759173
Key,6,1621503759410
Key,+,1621503759583
Key,7,1621503759825
Key,+,1621503760022
Key,8,1621503760288
Key,+,1621503760473
Key,9,1621503760720
Key,+,1621503760939
Key,1,1621503761558
Key,0,1621503762034
Key,+,1621503762253
Key,1,1621503762942
Key,1,1621503763111
Key,+,1621503763274
Key,1,1621503763461
Key,2,1621503763680
Key,+,1621503763849
Key,1,1621503764043
Key,3,1621503764290
Key,+,1621503764459
Key,1,1621503764705
Key,4,1621503764977
Key,+,1621503765135
Key,1,1621503765393
Key,5,1621503765741
Key,+,1621503765910
Key,1,1621503766228
Key,6,1621503766646
Key,+,1621503766806
Key,1,1621503767181
Key,7,1621503767725
Key,+,1621503767889
Key,1,1621503768973
Key,8,1621503769428
