event,input,timestamp_msSinceEpoch
Button,1,1621430003059
Button,-,1621430003731
Button,1,1621430004589
Button,-,1621430005422
Button,1,1621430006170
Button,-,1621430006845
Button,1,1621430007572
Button,-,1621430008315
Button,1,1621430009048
Button,-,1621430009753
Button,1,1621430010419
Button,AC (all cleared),1621430011418
Button,AC (all cleared),1621430011466
Button,1,1621430012205
Button,-,1621430012924
Button,1,1621430013738
Button,-,1621430014524
Button,1,1621430015443
Button,-,1621430016255
Button,1,1621430016979
Button,-,1621430018177
Button,1,1621430019134
Button,-,1621430019985
Button,1,1621430020756
Button,AC (all cleared),1621430022005
Button,1,1621430023261
Button,-,1621430024117
Button,1,1621430024975
Button,-,1621430025723
Button,1,1621430026738
Button,-,1621430027577
Button,1,1621430028283
Button,-,1621430029003
Button,1,1621430029720
Button,-,1621430030507
Button,1,1621430031467
Button,AC (all cleared),1621430032380
Button,1,1621430033521
Button,-,1621430034294
Button,1,1621430035082
Button,-,1621430035800
Button,1,1621430036590
Button,-,1621430037468
Button,1,1621430038228
Button,-,1621430039024
Button,1,1621430040091
Button,-,1621430040899
Button,1,1621430041834
Button,AC (all cleared),1621430043200
Button,1,1621430044102
Button,-,1621430044836
Button,1,1621430045639
Button,-,1621430046502
Button,1,1621430047443
Button,-,1621430048148
Button,1,1621430048979
Button,-,1621430049656
Button,1,1621430050275
Button,-,1621430051168
Button,1,1621430052069
Button,AC (all cleared),1621430053171
