event,input,timestamp_msSinceEpoch
Key,3,1621504029815
Key,Other,1621504030128
Key,*,1621504030341
Key,3,1621504030855
Key,+,1621504031593
Key,4,1621504032143
Key,Other,1621504032427
Key,*,1621504032631
Key,4,1621504033204
Key,Calculate (Result: 25),1621504034092
Key,Other,1621504035495
Key,*,1621504035713
Key,1,1621504036540
Key,5,1621504036823
Key,.,1621504037293
Key,2,1621504037605
Key,Calculate (Result: 380.0),1621504037874
Key,Clear,1621504047826
Key,3,1621504048321
Key,Other,1621504048600
Key,*,1621504048786
Key,3,1621504049285
Key,+,1621504050215
Key,4,1621504050816
Key,Other,1621504051114
Key,*,1621504051304
Key,4,1621504051803
Key,Calculate (Result: 25),1621504052552
Key,Other,1621504053745
Key,*,1621504053953
Key,1,1621504054639
Key,5,1621504054943
Key,.,1621504055305
Key,2,1621504055544
Key,Calculate (Result: 380.0),1621504056087
Key,Clear,1621504057832
Key,3,1621504058399
Key,Other,1621504058617
Key,*,1621504058860
Key,3,1621504059383
Key,+,1621504059867
Key,4,1621504060512
Key,Other,1621504060786
Key,*,1621504061047
Key,4,1621504061563
Key,Calculate (Result: 25),1621504062140
Key,Other,1621504063044
Key,*,1621504063266
Key,1,1621504063767
Key,4,1621504064038
Key,Clear,1621504065699
Key,3,1621504067071
Key,Other,1621504067287
Key,*,1621504067547
Key,3,1621504068076
Key,+,1621504068819
Key,4,1621504069335
Key,Other,1621504069662
Key,*,1621504069897
Key,4,1621504070412
Key,Calculate (Result: 25),1621504070820
Key,Other,1621504071970
Key,*,1621504072206
Key,1,1621504072727
Key,5,1621504073071
Key,.,1621504073461
Key,2,1621504073894
Key,Calculate (Result: 380.0),1621504074227
Key,Clear,1621504076825
Key,3,1621504077649
Key,Other,1621504077965
Key,*,1621504078221
Key,3,1621504078729
Key,+,1621504079195
Key,4,1621504079699
Key,Other,1621504079945
Key,*,1621504080195
Key,4,1621504080670
Key,Calculate (Result: 25),1621504081394
Key,Other,1621504082599
Key,*,1621504082767
Key,1,1621504083390
Key,5,1621504083741
Key,.,1621504084109
Key,2,1621504084409
Key,Calculate (Result: 380.0),1621504084762
Key,Clear,1621504102903
Key,3,1621504103699
Key,Other,1621504103959
Key,*,1621504104205
Key,3,1621504104654
Key,+,1621504105038
Key,4,1621504105463
Key,Other,1621504105757
Key,*,1621504105948
Key,4,1621504106387
Key,Calculate (Result: 25),1621504106745
Key,Other,1621504107361
Key,*,1621504107595
Key,1,1621504108205
Key,5,1621504108565
Key,.,1621504109083
Key,2,1621504109426
Key,Calculate (Result: 380.0),1621504109766
Key,Clear,1621504113098
Key,3,1621504113558
Key,Other,1621504113786
Key,*,1621504114014
Key,3,1621504114464
Key,+,1621504114828
Key,4,1621504115147
Key,Other,1621504115426
Key,*,1621504115623
Key,4,1621504116040
Key,Calculate (Result: 25),1621504116880
Key,Other,1621504117690
Key,*,1621504117928
Key,1,1621504118413
Key,5,1621504118738
Key,.,1621504119109
Key,2,1621504119382
Key,Calculate (Result: 380.0),1621504119643
Key,Clear,1621504123323
Key,3,1621504123868
Key,Other,1621504124142
Key,*,1621504124334
Key,3,1621504124756
Key,+,1621504125055
Key,4,1621504125343
Key,Other,1621504125603
Key,*,1621504125817
Key,4,1621504126221
Key,Calculate (Result: 25),1621504126816
Key,Other,1621504127444
Key,*,1621504127652
Key,1,1621504128121
Key,5,1621504128470
Key,.,1621504128843
Key,2,1621504129131
Key,Calculate (Result: 380.0),1621504129383
Key,Clear,1621504132908
Key,3,1621504133286
Key,Other,1621504133530
Key,*,1621504133770
Key,3,1621504134199
Key,+,1621504134536
Key,4,1621504134845
Key,Other,1621504135106
Key,*,1621504135299
Key,4,1621504135704
Key,Calculate (Result: 25),1621504136000
Key,Other,1621504136600
Key,*,1621504136798
Key,1,1621504137369
Key,5,1621504137828
Key,.,1621504138246
Key,2,1621504138731
Key,Calculate (Result: 380.0),1621504139269
Key,Clear,1621504143229
Key,3,1621504144244
Key,Other,1621504144511
Key,*,1621504144704
Key,3,1621504145193
Key,+,1621504145647
Key,4,1621504146344
Key,Other,1621504146648
Key,*,1621504146861
Key,4,1621504147358
Key,Calculate (Result: 25),1621504147826
Key,Other,1621504148402
Key,*,1621504148611
Key,1,1621504149127
Key,5,1621504149490
Key,.,1621504149928
Key,2,1621504150238
Key,Calculate (Result: 380.0),1621504150570
Key,Clear,1621504154360
Key,3,1621504154861
Key,Other,1621504155126
Key,*,1621504155371
Key,3,1621504155837
Key,+,1621504156193
Key,4,1621504156513
Key,Other,1621504156799
Key,*,1621504157007
Key,4,1621504157437
Key,Calculate (Result: 25),1621504158154
Key,Other,1621504158712
Key,*,1621504158904
Key,1,1621504159395
Key,5,1621504159728
Key,.,1621504160051
Key,2,1621504160312
Key,Calculate (Result: 380.0),1621504160566
Key,Clear,1621504163737
Key,3,1621504164131
Key,Other,1621504164464
Key,*,1621504164691
Key,3,1621504165162
Key,+,1621504165525
Key,4,1621504165907
Key,Other,1621504166176
Key,*,1621504166377
Key,4,1621504166812
Key,Calculate (Result: 25),1621504167630
Key,Other,1621504168183
Key,*,1621504168366
Key,1,1621504168831
Key,5,1621504169479
Key,.,1621504169883
Key,2,1621504170174
Key,Calculate (Result: 380.0),1621504170438
